TimeStamp	2016-06-18 11:49:53
Model:	QCL Open Path N2O Analyzer
File Type:	txt
Instrument:	Princeton QCL N2O Sensor
Time	peak	2F_peak	1F_Intensity	DET_intensity	Pindex
35822993.268692	0.026876	0.049595	2.162993	6504.000000
35822993.368697	0.026486	0.048521	2.146701	6506.000000
35822993.468703	0.026611	0.048949	2.160168	6506.000000
35822993.568709	0.026891	0.049942	2.185587	6506.000000
35822993.668715	0.026913	0.050253	2.190892	6510.000000
35822993.768720	0.027418	0.051006	2.212438	6506.000000
35822993.868726	0.027297	0.051031	2.210851	6506.000000
35822993.968732	0.027243	0.050870	2.206513	6505.000000
35822994.068738	0.027430	0.051108	2.223575	6503.000000
35822994.168743	0.026456	0.047552	2.226518	6507.000000
35822994.268749	0.026968	0.050399	2.267269	6504.000000
35822994.368754	0.026828	0.049590	2.172888	6501.000000
35822994.468760	0.026613	0.049064	2.160089	6503.000000
35822994.568766	0.026627	0.049034	2.068426	6505.000000
35822994.668772	0.026626	0.048952	2.267957	6505.000000
35822994.768777	0.026610	0.049041	2.157489	6504.000000
35822994.868783	0.026925	0.049816	2.177685	6504.000000
35822994.968789	0.026466	0.048553	2.149456	6501.000000
35822995.068795	0.026915	0.049500	2.167647	6501.000000
35822995.168800	0.026333	0.048547	2.140637	6503.000000
35822995.268806	0.026444	0.048290	2.147443	6501.000000
35822995.368812	0.026091	0.047332	2.110608	6496.000000
35822995.468818	0.026491	0.048809	2.156694	6504.000000
35822995.568823	0.026435	0.048715	2.161811	6503.000000
35822995.668829	0.026831	0.049570	2.171889	6497.000000
35822995.768835	0.026935	0.049374	2.154279	6496.000000
35822995.868840	0.026732	0.048923	2.160476	6499.000000
35822995.968846	0.026626	0.049177	2.158883	6500.000000
35822996.068852	0.026845	0.049221	2.169382	6499.000000
35822996.168858	0.026999	0.049759	2.174205	6496.000000
35822996.268863	0.026348	0.048959	2.165210	6501.000000
35822996.368869	0.026749	0.050226	2.190892	6502.000000
35822996.468875	0.026742	0.050157	2.194004	6500.000000
35822996.568881	0.026875	0.050210	2.199726	6496.000000
35822996.668886	0.026497	0.049302	2.171842	6497.000000
35822996.768892	0.026274	0.048588	2.148939	6493.000000
35822996.868897	0.026426	0.049037	2.164570	6496.000000
35822996.969903	0.026884	0.050308	2.204427	6494.000000
35822997.068909	0.027190	0.051464	2.216599	6499.000000
35822997.168915	0.026481	0.048960	2.149309	6494.000000
35822997.268920	0.026345	0.048171	2.139311	6492.000000
35822997.368926	0.026303	0.048245	2.146604	6491.000000
35822997.468932	0.026604	0.049174	2.153977	6492.000000
35822997.568938	0.026664	0.048945	2.165362	6490.000000
35822997.668943	0.026058	0.047358	2.117128	6492.000000
35822997.768949	0.025989	0.047292	2.117121	6492.000000
35822997.868955	0.026189	0.047837	2.125495	6493.000000
35822997.968961	0.026531	0.048386	2.142447	6493.000000
35822998.068966	0.026195	0.047844	2.125056	6493.000000
35822998.168972	0.026244	0.047575	2.127674	6493.000000
35822998.268978	0.026597	0.048640	2.148934	6492.000000
35822998.368983	0.026696	0.048819	2.154118	6492.000000
35822998.468989	0.026444	0.048367	2.142740	6494.000000
35822998.568995	0.026561	0.048751	2.155121	6491.000000
35822998.669001	0.026860	0.049197	2.167517	6487.000000
35822998.769006	0.026560	0.048902	2.162675	6491.000000
35822998.869012	0.026641	0.048694	2.155627	6489.000000
35822998.969018	0.026969	0.049843	2.179158	6489.000000
35822999.069024	0.025900	0.046907	2.105828	6487.000000
35822999.169029	0.026485	0.048926	2.164775	6489.000000
35822999.269035	0.026610	0.049148	2.166480	6495.000000
35822999.369040	0.026685	0.049548	2.181119	6488.000000
35822999.469047	0.026771	0.049716	2.178339	6493.000000
35822999.569052	0.026876	0.050021	2.189572	6492.000000
35822999.669058	0.026736	0.049588	2.183709	6494.000000
35822999.769063	0.026558	0.049023	2.157129	6489.000000
35822999.869069	0.026727	0.049372	2.173651	6489.000000
35822999.969075	0.026830	0.049780	2.176708	6494.000000
35823000.069081	0.026328	0.048959	2.162962	6494.000000
35823000.169086	0.026535	0.049382	2.175490	6495.000000
35823000.269092	0.026826	0.050292	2.199787	6494.000000
35823000.369098	0.027010	0.050549	2.203030	6491.000000
35823000.469104	0.027106	0.051186	2.221649	6494.000000
35823000.569109	0.027153	0.051142	2.211193	6496.000000
35823000.669115	0.027126	0.050737	2.216455	6493.000000
35823000.769121	0.027265	0.050854	2.202810	6491.000000
35823000.869126	0.026838	0.049942	2.179917	6494.000000
35823000.969132	0.026786	0.049978	2.177837	6497.000000
35823001.069138	0.026930	0.050204	2.191290	6495.000000
35823001.169144	0.026894	0.050015	2.183754	6493.000000
35823001.269149	0.027148	0.050662	2.201399	6495.000000
35823001.369155	0.027069	0.050244	2.189615	6498.000000
35823001.469161	0.027126	0.050910	2.205810	6495.000000
35823001.569167	0.026882	0.050375	2.133422	6494.000000
35823001.669172	0.026866	0.049897	2.182291	6497.000000
35823001.769178	0.026868	0.049694	2.172137	6497.000000
35823001.869184	0.027086	0.050170	2.183155	6496.000000
35823001.969189	0.026844	0.049681	2.178788	6495.000000
35823002.069195	0.026989	0.050188	2.188563	6494.000000
35823002.169201	0.026940	0.050044	2.184518	6498.000000
35823002.269207	0.026947	0.050401	2.192199	6500.000000
35823002.369212	0.027052	0.050453	2.189942	6500.000000
35823002.469218	0.026916	0.049583	2.169983	6496.000000
35823002.569224	0.026576	0.049146	2.160411	6497.000000
35823002.669230	0.026969	0.050221	2.191405	6501.000000
35823002.769235	0.026990	0.050227	2.187691	6500.000000
