TimeStamp	2016-06-18 21:49:54
Model:	QCL Open Path N2O Analyzer
File Type:	txt
Instrument:	Princeton QCL N2O Sensor
Time	peak	2F_peak	1F_Intensity	DET_intensity	Pindex
35858994.271832	0.025144	0.042723	2.018641	6502.000000
35858994.371837	0.025198	0.042732	2.018173	6507.000000
35858994.471843	0.025159	0.042361	2.012544	6497.000000
35858994.572848	0.025160	0.042670	2.017876	6505.000000
35858994.671854	0.025174	0.042631	2.019938	6498.000000
35858994.771860	0.024996	0.042664	2.016486	6504.000000
35858994.871866	0.025070	0.042547	2.014083	6501.000000
35858994.971871	0.025103	0.042580	2.014886	6505.000000
35858995.071877	0.025198	0.042770	2.018053	6506.000000
35858995.171883	0.025219	0.042630	2.018297	6498.000000
35858995.271889	0.025079	0.042702	2.018955	6502.000000
35858995.371894	0.025117	0.042672	2.020442	6503.000000
35858995.471900	0.025183	0.042583	2.015966	6497.000000
35858995.571906	0.025169	0.042659	2.016929	6503.000000
35858995.671911	0.024998	0.042656	2.017612	6503.000000
35858995.771917	0.025152	0.042736	2.018519	6504.000000
35858995.871923	0.024974	0.042595	2.017543	6499.000000
35858995.971929	0.025140	0.042703	2.020348	6500.000000
35858996.071934	0.024913	0.042617	2.017381	6498.000000
35858996.171940	0.025071	0.042806	2.020565	6505.000000
35858996.271945	0.025076	0.042454	2.015327	6496.000000
35858996.371952	0.024978	0.042759	2.020603	6505.000000
35858996.471957	0.025007	0.042641	2.017391	6496.000000
35858996.571963	0.025171	0.042803	2.023343	6497.000000
35858996.671968	0.025103	0.042753	2.021192	6499.000000
35858996.771974	0.025053	0.042707	2.020121	6497.000000
35858996.871980	0.025275	0.042845	2.020208	6505.000000
35858996.971986	0.025161	0.042759	2.019780	6501.000000
35858997.071991	0.025064	0.042680	2.015757	6501.000000
35858997.171997	0.025055	0.042637	2.018021	6498.000000
35858997.272003	0.025145	0.042694	2.017453	6502.000000
35858997.372009	0.025213	0.042587	2.017800	6499.000000
35858997.472014	0.025153	0.042805	2.020696	6502.000000
35858997.572020	0.025217	0.042759	2.021574	6499.000000
35858997.672026	0.025268	0.042825	2.020987	6499.000000
35858997.772031	0.025282	0.042681	2.020745	6498.000000
35858997.872037	0.024995	0.042557	2.016000	6496.000000
35858997.972043	0.025041	0.042656	2.016860	6500.000000
35858998.072049	0.025161	0.042846	2.022625	6500.000000
35858998.172054	0.025306	0.042658	2.019605	6497.000000
35858998.272060	0.025022	0.042680	2.019939	6495.000000
35858998.372066	0.025050	0.042678	2.020240	6499.000000
35858998.472072	0.025128	0.042773	2.021034	6498.000000
35858998.572077	0.025215	0.042697	2.018369	6497.000000
35858998.672083	0.025249	0.042911	2.024994	6499.000000
35858998.772089	0.025167	0.042663	2.021032	6493.000000
35858998.872095	0.025082	0.042745	2.019273	6498.000000
35858998.972100	0.025122	0.042719	2.020224	6498.000000
